customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
5196-V7D2I,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),106.3,975.64
2379-ZLEKH,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,82.94,390.86
5512-5ZD5Q,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),71.76,764.89
3864-NT4ZD,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,68.74,933.73
0327-VFPUR,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.19,382.17
2629-NS2M6,1,Yes,No,13,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.89,1231.31
5523-S3F47,0,No,No,3,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.5,268.75
0620-9IOZV,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.23,1048.38
9941-4FNI3,0,No,No,10,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.3,895.43
2856-0MG0W,0,Yes,No,12,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.79,963.39
4114-YKAQI,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,79.2,170.42
7750-YQ12F,1,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.1,567.19
2511-ZBIE6,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,74.5,1091.13
7782-3MOCK,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.53,1087.84
3842-VK3MH,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.18,84.24
3562-TXHLP,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.06,889.68
7129-SAT9S,1,No,No,16,No,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),65.58,1120.56
7818-BDYO1,1,Yes,No,21,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,74.02,1604.96
4557-49O9B,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.98,382.22
7502-ZBPYH,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,96.18,499.38
5010-SO2Z0,1,No,No,4,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,79.32,308.83
0495-W2F9N,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.23,996.82
5907-E2L1R,1,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.78,235.38
6977-H1XGR,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,89.1,664.04
4460-57CBR,1,No,No,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.95,257.66
3442-PNM2U,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.4,1004.8
9882-ZREIB,1,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.33,345.51
4606-JECWI,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),83.22,1311.82
